product_id;article;name;category_id;unit_id
12a04717-cbc9-11e0-83f6-0027139014cf;506688;Капучіно Чикорофф Розчинне Новосвіт 200г;5d225f3a-829d-11e3-a82a-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
6f96e78d-d661-11e2-9c91-001b21a1ef75;520087;Макарони Галіна Бланка Супова Вермішель 450г;d3cad01d-cbc8-11e0-83f6-0027139014cf;6db68807-b060-11dc-ac41-0015172b7641
10c0ea8f-cbca-11e0-83f6-0027139014cf;336953;Приправа Сибоко Ароматизатор мята 5мл;2f54212b-3939-11e2-87ee-000c29bf83a6;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
d9849d5c-3567-11e3-8c0a-001b21a1ef75;110752;Горілка Львівська Давня Легенда 0,7л;11dbaaa9-8b40-11e4-bf77-001b21a1ef75;c683f468-3309-11e1-90cc-bcaec5951f9c
10c0eb61-cbca-11e0-83f6-0027139014cf;953121;Маринад Украса для гріля 80г;2f54212b-3939-11e2-87ee-000c29bf83a6;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
10c0ec4f-cbca-11e0-83f6-0027139014cf;24616;Приправа ЕКО Куряча 100г;10c0eb94-cbca-11e0-83f6-0027139014cf;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
f087b9d9-52a5-11e4-8197-001b21a1ef75;554189;Суміш Milupa Молочна Суха 3 600г;1117fafd-71f4-11e2-9f6e-0002449c77f2;c683f468-3309-11e1-90cc-bcaec5951f9c
c2da6eeb-4c4b-11e3-9bf1-001b21a1ef75;111010;Крупа Рисова Тера 900г;37ad367f-15d7-11e1-843c-00132107ba1d;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a04705-cbc9-11e0-83f6-0027139014cf;981231;Печиво Екоп Смачне 300г;5d225f3a-829d-11e3-a82a-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
72e16049-f54a-11e4-a96b-001b21a1ef75;577538;Каша Нестле Кукурудзяна з Біфідобактеріями 160г;229d3c56-0c61-11e2-a416-000c295faca5;5bf1c5f0-76c9-11e4-823f-001b21a1ef75
12a04703-cbc9-11e0-83f6-0027139014cf;897897;Крекер Екоп Справжній 300г;5d225f3a-829d-11e3-a82a-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
10c0ea7d-cbca-11e0-83f6-0027139014cf;896456;Приправа Сибоко Ароматизатор виноград 5мл;2f54212b-3939-11e2-87ee-000c29bf83a6;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
e06c956a-cbc8-11e0-83f6-0027139014cf;555524;Гомілки-гриль 1кг;e06c955a-cbc8-11e0-83f6-0027139014cf;b5b2c2ad-cbc7-11e0-83f6-0027139014cf
7b9f790e-1ff6-11e1-90cc-bcaec5951f9c;101241;Макарони КМФ Ріжки особливі 400г;68da22d4-15c2-11e1-843c-00132107ba1d;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
a4e572fa-b8ea-11e0-bee6-003048d2b64d;213451;Макарони Козачок Вермішель коротка 950г;40b07db8-1267-11e0-acfe-00132107ba1d;6db68807-b060-11dc-ac41-0015172b7641
5b7c65e1-126c-11e0-acfe-00132107ba1d;217486;Макарони Подільський край Спіраль 1кг;f0dd571f-7b8b-11e4-823f-001b21a1ef75;6db68807-b060-11dc-ac41-0015172b7641
e06c95b2-cbc8-11e0-83f6-0027139014cf;501728;Морква по-корейськи 1кг ;22b37919-ad25-11e4-8ee1-001b21a1ef75;b5b2c2ad-cbc7-11e0-83f6-0027139014cf
ff7a5160-bc87-11e3-a86a-001b21a1ef75;220013;Печиво Heinz Дитяче Дитяче з яблуком 160г;05c2ff2a-cbc9-11e0-83f6-0027139014cf;c683f468-3309-11e1-90cc-bcaec5951f9c
15188778-5612-11e1-90cc-bcaec5951f9c;102548;Готовий Сніданок Nestle Фітнес 450г;3da17677-b58f-11e3-b1b7-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
d3cacf15-cbc8-11e0-83f6-0027139014cf;527784;Борошно АРО Пшеничне 5кг;6fd66ba7-6fb5-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
